speech_id,party,sentiment_score,negativity_score,speech_length,avg_sentence_length,kw_democracy_count,kw_democracy_freq,kw_economy_count,kw_economy_freq,kw_welfare_health_count,kw_welfare_health_freq,kw_education_count,kw_education_freq,kw_environment_count,kw_environment_freq,kw_security_defense_count,kw_security_defense_freq,kw_foreign_policy_count,kw_foreign_policy_freq,kw_immigration_count,kw_immigration_freq
59,Democrat,0.9962,0.037,297,297.0,0,0.0,0,0.0,1,0.003367003367003367,0,0.0,0,0.0,1,0.003367003367003367,2,0.006734006734006734,0,0.0
60,Republican,0.9618,0.016,204,204.0,0,0.0,2,0.00980392156862745,0,0.0,1,0.004901960784313725,1,0.004901960784313725,0,0.0,0,0.0,0,0.0
61,Republican,1.0,0.058,10614,10614.0,36,0.0033917467495760316,49,0.004616544186922932,16,0.0015074429998115696,11,0.0010363670623704541,2,0.0001884303749764462,47,0.004428113811946486,39,0.003674392312040701,9,0.0008479366873940079
62,Republican,0.9994,0.025,1086,1086.0,1,0.0009208103130755065,0,0.0,0,0.0,0,0.0,0,0.0,5,0.004604051565377533,32,0.029465930018416207,0,0.0
63,Democrat,1.0,0.069,9578,9578.0,6,0.0006264355815410315,58,0.006055543954896638,53,0.005533514303612445,77,0.008039256629776571,4,0.00041762372102735435,10,0.0010440593025683859,8,0.0008352474420547087,2,0.00020881186051367718
64,Democrat,-0.9281,0.193,146,146.0,0,0.0,3,0.02054794520547945,4,0.0273972602739726,1,0.00684931506849315,0,0.0,0,0.0,0,0.0,0,0.0
65,Republican,1.0,0.038,1959,1959.0,14,0.0071465033180193975,0,0.0,3,0.0015313935681470138,0,0.0,1,0.0005104645227156713,27,0.013782542113323124,26,0.013272077590607452,0,0.0
66,Democrat,0.9987,0.076,1844,1844.0,41,0.022234273318872018,2,0.0010845986984815619,3,0.0016268980477223427,0,0.0,3,0.0016268980477223427,0,0.0,2,0.0010845986984815619,0,0.0
67,Democrat,0.9999,0.049,4234,4234.0,17,0.00401511572980633,8,0.001889466225791214,0,0.0,5,0.0011809163911195087,1,0.00023618327822390176,11,0.0025980160604629193,10,0.0023618327822390174,0,0.0
68,Republican,0.9821,0.028,316,316.0,1,0.0031645569620253164,0,0.0,0,0.0,0,0.0,2,0.006329113924050633,5,0.015822784810126583,0,0.0,0,0.0
69,Republican,0.9999,0.039,2068,2068.0,2,0.0009671179883945841,54,0.02611218568665377,2,0.0009671179883945841,1,0.00048355899419729207,0,0.0,3,0.0014506769825918763,5,0.0024177949709864605,0,0.0
70,Democrat,0.9998,0.093,2356,2356.0,46,0.019524617996604415,4,0.001697792869269949,4,0.001697792869269949,2,0.0008488964346349745,0,0.0,11,0.00466893039049236,5,0.0021222410865874364,2,0.0008488964346349745
71,Democrat,0.5955,0.128,45,45.0,0,0.0,1,0.022222222222222223,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
72,Republican,0.9994,0.025,1087,1087.0,1,0.0009199632014719411,0,0.0,0,0.0,0,0.0,0,0.0,5,0.004599816007359705,32,0.029438822447102116,0,0.0
73,Republican,-0.986,0.096,2195,2195.0,3,0.001366742596810934,4,0.0018223234624145787,0,0.0,0,0.0,1,0.00045558086560364467,34,0.015489749430523917,4,0.0018223234624145787,0,0.0
74,Democrat,0.9999,0.071,3705,3705.0,27,0.0072874493927125505,9,0.0024291497975708503,5,0.001349527665317139,1,0.0002699055330634278,1,0.0002699055330634278,6,0.0016194331983805667,5,0.001349527665317139,4,0.0010796221322537112
75,Republican,0.9989,0.065,770,770.0,5,0.006493506493506494,1,0.0012987012987012987,0,0.0,0,0.0,0,0.0,0,0.0,5,0.006493506493506494,0,0.0
76,Republican,0.994,0.114,1291,1291.0,1,0.000774593338497289,4,0.003098373353989156,1,0.000774593338497289,1,0.000774593338497289,4,0.003098373353989156,8,0.006196746707978312,10,0.0077459333849728895,1,0.000774593338497289
77,Republican,0.9801,0.016,332,332.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0030120481927710845,1,0.0030120481927710845,0,0.0
78,Democrat,-0.9788,0.211,198,198.0,2,0.010101010101010102,0,0.0,0,0.0,0,0.0,0,0.0,1,0.005050505050505051,0,0.0,0,0.0
79,Republican,0.9999,0.089,3273,3273.0,3,0.0009165902841429881,16,0.00488848151542927,23,0.007027192178429576,5,0.0015276504735716467,13,0.003971891231286282,11,0.003360831041857623,1,0.00030553009471432935,0,0.0
80,Democrat,1.0,0.09,7839,7839.0,33,0.004209720627631076,91,0.011608623548922056,44,0.005612960836841434,24,0.0030616150019135095,10,0.0012756729174639623,32,0.004082153335884679,37,0.004719989794616661,12,0.0015308075009567547
81,Republican,0.9451,0.121,402,402.0,7,0.017412935323383085,1,0.0024875621890547263,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0024875621890547263,0,0.0
82,Republican,0.9994,0.081,1384,1384.0,1,0.000722543352601156,5,0.0036127167630057803,5,0.0036127167630057803,0,0.0,0,0.0,2,0.001445086705202312,6,0.004335260115606936,3,0.002167630057803468
83,Democrat,-0.8551,0.119,2150,2150.0,0,0.0,12,0.005581395348837209,9,0.004186046511627907,1,0.00046511627906976747,1,0.00046511627906976747,3,0.0013953488372093023,3,0.0013953488372093023,0,0.0
84,Republican,0.994,0.0,104,104.0,0,0.0,0,0.0,0,0.0,1,0.009615384615384616,0,0.0,0,0.0,0,0.0,0,0.0
85,Republican,0.9674,0.012,163,163.0,0,0.0,2,0.012269938650306749,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
86,Democrat,0.9995,0.091,1059,1059.0,0,0.0,1,0.0009442870632672333,1,0.0009442870632672333,0,0.0,0,0.0,20,0.018885741265344664,15,0.014164305949008499,0,0.0
