speech_id,president,party,year,sentiment_score,negativity_score,speech_length,avg_sentence_length,kw_democracy_count,kw_democracy_freq,kw_economy_count,kw_economy_freq,kw_welfare_health_count,kw_welfare_health_freq,kw_education_count,kw_education_freq,kw_environment_count,kw_environment_freq,kw_security_defense_count,kw_security_defense_freq,kw_foreign_policy_count,kw_foreign_policy_freq,kw_immigration_count,kw_immigration_freq
36,Andrew Johnson,Democrat,1866,0.998,0.055,1358,113.16666666666667,24,0.017673048600883652,0,0.0,0,0.0,0,0.0,0,0.0,10,0.007363770250368188,0,0.0,0,0.0
37,Grover Cleveland,Democrat,1888,1.0,0.072,13030,35.7967032967033,38,0.0029163468917881813,35,0.002686108979278588,18,0.0013814274750575594,9,0.0006907137375287797,9,0.0006907137375287797,28,0.00214888718342287,38,0.0029163468917881813,10,0.0007674597083653108
38,Harry S. Truman,Democrat,1945,0.9999,0.088,2582,19.125925925925927,12,0.004647560030983733,3,0.0011618900077459333,0,0.0,1,0.0003872966692486445,2,0.000774593338497289,51,0.019752130131680867,63,0.024399690162664602,0,0.0
39,Ronald Reagan,Republican,1988,1.0,0.068,4447,17.23643410852713,25,0.005621767483696874,39,0.008769957274567124,16,0.0035979311895659996,1,0.00022487069934787497,5,0.001124353496739375,21,0.004722284686305375,23,0.005172026085001125,0,0.0
40,Ronald Reagan,Republican,1987,0.9999,0.076,2688,20.210526315789473,26,0.009672619047619048,9,0.0033482142857142855,2,0.000744047619047619,1,0.0003720238095238095,1,0.0003720238095238095,12,0.004464285714285714,24,0.008928571428571428,0,0.0
41,Donald Trump,Republican,2020,1.0,0.034,13040,13.485005170630817,2,0.00015337423312883436,29,0.0022239263803680983,26,0.001993865030674847,6,0.00046012269938650307,2,0.00015337423312883436,13,0.0009969325153374234,9,0.0006901840490797546,0,0.0
42,Bill Clinton,Democrat,1998,0.9573,0.085,539,14.972222222222221,1,0.0018552875695732839,2,0.0037105751391465678,0,0.0,0,0.0,0,0.0,1,0.0018552875695732839,0,0.0,0,0.0
43,Donald Trump,Republican,2017,1.0,0.045,2552,12.571428571428571,4,0.001567398119122257,14,0.0054858934169279,2,0.0007836990595611285,0,0.0,45,0.01763322884012539,5,0.001959247648902821,8,0.003134796238244514,2,0.0007836990595611285
44,James K. Polk,Democrat,1847,0.9927,0.099,1786,39.68888888888889,4,0.0022396416573348264,4,0.0022396416573348264,0,0.0,0,0.0,3,0.0016797312430011197,38,0.02127659574468085,2,0.0011198208286674132,0,0.0
45,Ronald Reagan,Republican,1986,0.9997,0.113,2920,16.22222222222222,9,0.0030821917808219177,5,0.0017123287671232876,12,0.00410958904109589,7,0.002397260273972603,5,0.0017123287671232876,8,0.0027397260273972603,9,0.0030821917808219177,1,0.00034246575342465754
46,Grover Cleveland,Democrat,1887,0.9991,0.098,4120,45.27472527472528,5,0.0012135922330097086,20,0.0048543689320388345,1,0.00024271844660194174,0,0.0,0,0.0,52,0.01262135922330097,0,0.0,0,0.0
47,Bill Clinton,Democrat,2001,0.9993,0.048,1100,20.0,4,0.0036363636363636364,12,0.01090909090909091,9,0.008181818181818182,3,0.0027272727272727275,5,0.004545454545454545,7,0.006363636363636364,20,0.01818181818181818,0,0.0
48,Lyndon B. Johnson,Democrat,1964,0.9999,0.036,4669,12.6875,9,0.001927607624759049,34,0.007282073249089741,8,0.0017134289997858213,4,0.0008567144998929107,1,0.00021417862497322766,4,0.0008567144998929107,3,0.000642535874919683,0,0.0
49,Barack Obama,Democrat,2011,0.9991,0.051,970,19.4,0,0.0,3,0.003092783505154639,3,0.003092783505154639,1,0.0010309278350515464,0,0.0,18,0.018556701030927835,5,0.005154639175257732,1,0.0010309278350515464
50,William McKinley,Republican,1901,0.9999,0.069,2065,23.735632183908045,15,0.007263922518159807,4,0.001937046004842615,1,0.00048426150121065375,0,0.0,0,0.0,20,0.009685230024213076,11,0.005326876513317191,0,0.0
51,Donald Trump,Republican,2018,0.9999,0.112,3663,17.11682242990654,13,0.003549003549003549,21,0.005733005733005733,7,0.001911001911001911,0,0.0,5,0.001365001365001365,31,0.008463008463008462,68,0.018564018564018563,7,0.001911001911001911
52,Chester A. Arthur,Republican,1882,0.9963,0.04,821,34.208333333333336,3,0.0036540803897685747,0,0.0,2,0.00243605359317905,0,0.0,0,0.0,2,0.00243605359317905,0,0.0,0,0.0
53,George H. W. Bush,Republican,1993,0.9999,0.08,3304,16.68686868686869,3,0.0009079903147699758,2,0.0006053268765133172,3,0.0009079903147699758,4,0.0012106537530266344,1,0.0003026634382566586,47,0.014225181598062953,29,0.008777239709443099,0,0.0
54,Barack Obama,Democrat,2011,0.9999,0.095,5698,21.50188679245283,35,0.006142506142506142,24,0.004212004212004212,4,0.000702000702000702,3,0.0005265005265005265,3,0.0005265005265005265,40,0.00702000702000702,37,0.006493506493506494,2,0.000351000351000351
55,Gerald Ford,Republican,1974,0.9999,0.062,4282,19.375565610859727,3,0.0007006071929005138,71,0.016581036898645492,13,0.003035964502568893,2,0.00046707146193367583,21,0.004904250350303597,5,0.0011676786548341896,12,0.0028024287716020553,0,0.0
56,Herbert Hoover,Republican,1930,0.2945,0.085,596,19.866666666666667,1,0.0016778523489932886,0,0.0,1,0.0016778523489932886,0,0.0,0,0.0,1,0.0016778523489932886,0,0.0,1,0.0016778523489932886
